,indeks_1,indeks_2,No,Nama Dosen,Judul Jurnal,Kata Judul Jurnal Hasil Filter
9050,9050,9051,876,"Indra Dharma Wijaya, ST., M.MT.",RANCANGAN MANAJEMEN RISIKO KORPORASI TERINTEGRASI BERBASIS ISO 31000 2018 DI PT SUCOFINDO PERSERO,pt
9051,9051,9052,876,"Indra Dharma Wijaya, ST., M.MT.",RANCANGAN MANAJEMEN RISIKO KORPORASI TERINTEGRASI BERBASIS ISO 31000 2018 DI PT SUCOFINDO PERSERO,sucofindo
9052,9052,9053,876,"Indra Dharma Wijaya, ST., M.MT.",RANCANGAN MANAJEMEN RISIKO KORPORASI TERINTEGRASI BERBASIS ISO 31000 2018 DI PT SUCOFINDO PERSERO,persero
9053,9053,9054,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,manfaat
9054,9054,9055,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,babadotan
9055,9055,9056,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,ageratum
9056,9056,9057,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,conyzoides
9057,9057,9058,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,l
9058,9058,9059,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,kendali
9059,9059,9060,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,hama
9060,9060,9061,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,kutu
9061,9061,9062,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,daun
9062,9062,9063,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,tanam
9063,9063,9064,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,cabai
9064,9064,9065,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,rawit
9065,9065,9066,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,capsicum
9066,9066,9067,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,frustescent
9067,9067,9068,877,"Indra Dharma Wijaya, ST., M.MT.",PEMANFAATAN BABADOTAN Ageratum conyzoides L UNTUK MENGENDALIKAN HAMA KUTU DAUN PADA TANAMAN CABAI RAWIT Capsicum frustescent L,l
9068,9068,9069,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,pengaruh
9069,9069,9070,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,disiplin
9070,9070,9071,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,kerja
9071,9071,9072,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,awas
9072,9072,9073,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,kerja
9073,9073,9074,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,hadap
9074,9074,9075,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,kerja
9075,9075,9076,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,suatu
9076,9076,9077,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,studi
9077,9077,9078,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,pegawai
9078,9078,9079,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,dinas
9079,9079,9080,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,kerja
9080,9080,9081,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,umum
9081,9081,9082,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,kota
9082,9082,9083,878,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH DISIPLIN KERJA DAN PENGAWASAN KERJA TERHADAP KINERJA Suatu Studi pada Pegawai Dinas Pekerjaan Umum Kota Bandung,bandung
9083,9083,9084,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,rancang
9084,9084,9085,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,bangun
9085,9085,9086,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,game
9086,9086,9087,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,first
9087,9087,9088,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,person
9088,9088,9089,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,shooter
9089,9089,9090,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,procedural
9090,9090,9091,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,content
9091,9091,9092,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,generation
9092,9092,9093,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,bas
9093,9093,9094,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,virtual
9094,9094,9095,879,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Game First Person Shooter Dengan Procedural Content Generation Berbasis Virtual Reality,reality
9095,9095,9096,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,analisis
9096,9096,9097,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,usul
9097,9097,9098,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,strategi
9098,9098,9099,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,pasar
9099,9099,9100,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,tingkat
9100,9100,9101,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,jual
9101,9101,9102,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,studi
9102,9102,9103,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,kasus
9103,9103,9104,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,pt
9104,9104,9105,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,insan
9105,9105,9106,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,muda
9106,9106,9107,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,berdikari
9107,9107,9108,880,"Indra Dharma Wijaya, ST., M.MT.",Analisis dan Usulan Strategi Pemasaran Untuk Meningkatkan Penjualan Studi Kasus PT Insan Muda Berdikari Cisarua-Cimahi,cisarua-cimahi
9108,9108,9109,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,ancang
9109,9109,9110,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,media
9110,9110,9111,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,mobile
9111,9111,9112,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,learning
9112,9112,9113,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,bas
9113,9113,9114,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,web
9114,9114,9115,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,mobile
9115,9115,9116,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,mata
9116,9116,9117,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,ajar
9117,9117,9118,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,komputer
9118,9118,9119,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,jaring
9119,9119,9120,881,"Indra Dharma Wijaya, ST., M.MT.",Perancangan Media Mobile Learning Berbasis Web Mobile Mata Pelajaran Komputer dan Jaringan Dasar,dasar
9120,9120,9121,882,"Indra Dharma Wijaya, ST., M.MT.",Aplikasi Media Advertising Mobile Berbasis Augmented Reality,aplikasi
9121,9121,9122,882,"Indra Dharma Wijaya, ST., M.MT.",Aplikasi Media Advertising Mobile Berbasis Augmented Reality,media
9122,9122,9123,882,"Indra Dharma Wijaya, ST., M.MT.",Aplikasi Media Advertising Mobile Berbasis Augmented Reality,advertising
9123,9123,9124,882,"Indra Dharma Wijaya, ST., M.MT.",Aplikasi Media Advertising Mobile Berbasis Augmented Reality,mobile
9124,9124,9125,882,"Indra Dharma Wijaya, ST., M.MT.",Aplikasi Media Advertising Mobile Berbasis Augmented Reality,bas
9125,9125,9126,882,"Indra Dharma Wijaya, ST., M.MT.",Aplikasi Media Advertising Mobile Berbasis Augmented Reality,augmented
9126,9126,9127,882,"Indra Dharma Wijaya, ST., M.MT.",Aplikasi Media Advertising Mobile Berbasis Augmented Reality,reality
9127,9127,9128,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,pengaruh
9128,9128,9129,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,variable
9129,9129,9130,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,acceleration
9130,9130,9131,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,factor
9131,9131,9132,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,kelompok
9132,9132,9133,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,dokumen
9133,9133,9134,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,text
9134,9134,9135,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,bahasa
9135,9135,9136,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,indonesia
9136,9136,9137,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,darwinian
9137,9137,9138,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,particle
9138,9138,9139,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,swarm
9139,9139,9140,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,optimization
9140,9140,9141,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,ant
9141,9141,9142,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,colony
9142,9142,9143,883,"Indra Dharma Wijaya, ST., M.MT.",PENGARUH VARIABLE ACCELERATION FACTOR PADA PENGELOMPOKAN DOKUMEN TEXT BERBAHASA INDONESIA DENGAN DARWINIAN PARTICLE SWARM OPTIMIZATION ANT COLONY CLUSTERING,clustering
9143,9143,9144,884,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Sistem Pakar Penentuan Peyakit Domba Menggunakan Metode Certainty Factor,rancang
9144,9144,9145,884,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Sistem Pakar Penentuan Peyakit Domba Menggunakan Metode Certainty Factor,bangun
9145,9145,9146,884,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Sistem Pakar Penentuan Peyakit Domba Menggunakan Metode Certainty Factor,pakar
9146,9146,9147,884,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Sistem Pakar Penentuan Peyakit Domba Menggunakan Metode Certainty Factor,tentu
9147,9147,9148,884,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Sistem Pakar Penentuan Peyakit Domba Menggunakan Metode Certainty Factor,peyakit
9148,9148,9149,884,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Sistem Pakar Penentuan Peyakit Domba Menggunakan Metode Certainty Factor,domba
9149,9149,9150,884,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Sistem Pakar Penentuan Peyakit Domba Menggunakan Metode Certainty Factor,metode
9150,9150,9151,884,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Sistem Pakar Penentuan Peyakit Domba Menggunakan Metode Certainty Factor,certainty
9151,9151,9152,884,"Indra Dharma Wijaya, ST., M.MT.",Rancang Bangun Sistem Pakar Penentuan Peyakit Domba Menggunakan Metode Certainty Factor,factor
9152,9152,9153,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,analisis
9153,9153,9154,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,waktu
9154,9154,9155,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,proses
9155,9155,9156,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,produksi
9156,9156,9157,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,line
9157,9157,9158,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,balancing
9158,9158,9159,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,pt
9159,9159,9160,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,trias
9160,9160,9161,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,mabua
9161,9161,9162,885,"Indra Dharma Wijaya, ST., M.MT.",ANALISIS WAKTU PROSES PRODUKSI DENGAN MENGGUNAKAN LINE BALANCING DI PT TRIAS MABUA KRISTA,krista
9162,9162,9163,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,klasifikasi
9163,9163,9164,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,status
9164,9164,9165,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,gizi
9165,9165,9166,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,balita
9166,9166,9167,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,metode
9167,9167,9168,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,certainty
9168,9168,9169,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,factor
9169,9169,9170,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,studi
9170,9170,9171,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,kasus
9171,9171,9172,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,posyandu
9172,9172,9173,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,rw
9173,9173,9174,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,8a
9174,9174,9175,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,tunas
9175,9175,9176,886,"Indra Dharma Wijaya, ST., M.MT.",KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN METODE CERTAINTY FACTOR STUDI KASUS POSYANDU RW 8A “TUNAS BANGSA”,bangsa
9176,9176,9177,887,"Indra Dharma Wijaya, ST., M.MT.",RANCANG BANGUN SISTEM INFORMASI INDEKS KEPUASAN PELANGGAN PADA PT KARTIKA SARI MULIA,rancang
9177,9177,9178,887,"Indra Dharma Wijaya, ST., M.MT.",RANCANG BANGUN SISTEM INFORMASI INDEKS KEPUASAN PELANGGAN PADA PT KARTIKA SARI MULIA,bangun
9178,9178,9179,887,"Indra Dharma Wijaya, ST., M.MT.",RANCANG BANGUN SISTEM INFORMASI INDEKS KEPUASAN PELANGGAN PADA PT KARTIKA SARI MULIA,indeks
9179,9179,9180,887,"Indra Dharma Wijaya, ST., M.MT.",RANCANG BANGUN SISTEM INFORMASI INDEKS KEPUASAN PELANGGAN PADA PT KARTIKA SARI MULIA,puas
